Language,Query,Weight,Bucket,#1,#2,#3,#4,#5,Comment
en ,shamati 1,967.0,שמעתי,https://kabbalahmedia.info/sources/hFeGidcS,https://kabbalahmedia.info/lessons?source=bs_qMUUn22b_hFeGidcS,,,,"(1) Searches for ""shamati"" + ""number"" do not open the article number, i.e. article number is not recognized by the system. It needs to be implemented so that the article number appears, and the article itself appears as the first search result for each ""shamati"" + ""number"" (2) After 2nd result, chronological listing of Shamati lessons from most recent to oldest"
en ,sviva-tova,294.3,אתר,http://www.kabbalahgroup.info,,,,,
en ,svivatova,294.3,אתר,http://www.kabbalahgroup.info,,,,,
en ,kab.tv,294.3,אתר,http://www.kab.tv,http://www.kabbalahgroup.info,,,,
en ,sefirot,242.3,מושג בקבלה,https://kabbalahmedia.info/sources/OqZMFGHu,https://kabbalahmedia.info/lessons?source=bs_L2jMWyce_OqZMFGHu,https://kabbalahmedia.info/sources/xtKmrbb9,https://kabbalahmedia.info/lessons?source=bs_xtKmrbb9,https://kabbalahmedia.info/sources/kB3eD83I,
en ,olam,242.3,מושג בקבלה,http://www.kabbalah.info/eng/content/view/full/87475,,,,,"Need to add meaningful title to the parts of TES, so that instead of ""Study of the Ten Sefirot > Vol. 2 > Part 6 | The Ten Sefirot of Olam ha Nekudim"""
en ,Perception of reality,242.3,מושג בקבלה,http://www.kabbalah.info/eng/content/view/full/85255,http://www.kabbalah.info/engkab/daily-kabbalah-lesson/perception-of-reality,https://kabbalahmedia.info/lessons?topic=0db5BBS3_fF9Awl9y_VmPWCNvo,https://kabbalahmedia.info/programs?topic=0db5BBS3_fF9Awl9y_VmPWCNvo,http://www.kabbalah.info/eng/content/view/full/80131,
en ,music,398.0,מוזיקה,http://www.kabbalah.info/engkab/kabbalah-music/melodies-of-baal-hasulam,http://www.kabbalah.info/engkab/mmedia.htm,https://kabbalahmedia.info/lessons?topic=VUpFlBnu_jwqdSTx0_Xq4Ixfow,https://kabbalahmedia.info/programs?topic=VUpFlBnu_jwqdSTx0_Xq4Ixfow,http://www.kabbalah.info/engkab/kabbalah-music/music-inspired-by-kabbalah,
en ,webinar,211.7,שיעור קבלה כללי,https://kabbalahmedia.info/lessons/virtual/c/VwCQ0OBq,https://kabbalahmedia.info/lessons/virtual,,,,"After first result of all webinars, it should be chronological ordering of all webinars from most recent to oldest. Also, webinars should include main topic/keyword/title"
en ,virtual lesson,211.7,שיעור קבלה כללי,https://kabbalahmedia.info/lessons/virtual/c/DEopTtgq,https://kabbalahmedia.info/lessons/virtual/c/J8fUahQ6,https://kabbalahmedia.info/lessons/virtual/c/WAIAsb7a,https://kabbalahmedia.info/lessons/virtual/c/90UmZsxO,https://kabbalahmedia.info/lessons/virtual,Each of the results needs chronological arrangement from most recent to oldest / and after 4 results to do the same with all virtual lessons
en ,Webinar,211.7,שיעור קבלה כללי,https://kabbalahmedia.info/lessons/virtual/c/VwCQ0OBq,https://kabbalahmedia.info/lessons/virtual,,,,"After first result of all webinars, it should be chronological ordering of all webinars from most recent to oldest. Also, webinars should include main topic/keyword/title"
en ,lesson,23.0,שיעור בוקר,https://kabbalahmedia.info/lessons,,,,,Chronological order of daily lessons from most recent to oldest
en ,integral-education_opening-doors,275.0,נושא חינוך אינטגראלי,https://kabbalahmedia.info/en/programs/cu/nh24Cn1H?language=en,,,,,
en ,integral education,275.0,נושא חינוך אינטגראלי,https://kabbalahmedia.info/programs?topic=VUpFlBnu_jwqdSTx0_qMxM8ZsC,,,,,
en ,children,275.0,נושא חינוך אינטגראלי,https://kabbalahmedia.info/programs/c/RJoMFefA,https://kabbalahmedia.info/lessons/cu/wwZeRZLV,https://kabbalahmedia.info/programs/cu/2HNj4LIf,https://kabbalahmedia.info/lessons/cu/Kn6fSnxM,https://kabbalahmedia.info/lessons/cu/G2aqRAbS,
en ,tora,185.0,תנך,http://www.kabbalahblog.info/category/torah-portion/,https://kabbalahmedia.info/programs/c/FMekSMpp,https://kabbalahmedia.info/programs?source=mr_bvA8ZB1w,https://kabbalahmedia.info/programs/c/X6NjpGB0,https://kabbalahmedia.info/en/sources/mmnCkYgm,Chronological order from most recent to oldest within each result
en ,torah,185.0,תנך,http://www.kabbalahblog.info/category/torah-portion/,https://kabbalahmedia.info/programs/c/FMekSMpp,https://kabbalahmedia.info/programs?source=mr_bvA8ZB1w,https://kabbalahmedia.info/programs/c/X6NjpGB0,,Chronological order from most recent to oldest within each result
en ,parashat,185.0,תנך,http://www.kabbalahblog.info/category/torah-portion/,https://kabbalahmedia.info/programs/c/FMekSMpp,https://kabbalahmedia.info/programs?source=mr_bvA8ZB1w,https://kabbalahmedia.info/programs/c/X6NjpGB0,,Chronological order from most recent to oldest within each result
en ,tes,676.5,"תע""ס",https://kabbalahmedia.info/sources/xtKmrbb9,https://kabbalahmedia.info/lessons?source=bs_xtKmrbb9,https://kabbalahmedia.info/sources/OqZMFGHu,https://kabbalahmedia.info/lessons?source=bs_L2jMWyce_OqZMFGHu,https://kabbalahmedia.info/lessons?source=bs_xtKmrbb9_e2jgBKLL,
en ,talmud eser sefirot,676.5,"תע""ס",https://kabbalahmedia.info/sources/xtKmrbb9,https://kabbalahmedia.info/lessons?source=bs_xtKmrbb9,https://kabbalahmedia.info/sources/OqZMFGHu,https://kabbalahmedia.info/lessons?source=bs_L2jMWyce_OqZMFGHu,https://kabbalahmedia.info/lessons?source=bs_xtKmrbb9_e2jgBKLL,
en ,zohar,1578.0,זוהר,http://www.kabbalah.info/engkab/the-zohar/study-the-zohar,https://kabbalahmedia.info/en/sources/yUcfylRm,https://kabbalahmedia.info/en/programs?topic=0db5BBS3_fF9Awl9y_m3u0BC6T,https://kabbalahmedia.info/en/lessons?source=rh_AwGBQX2L,,"1st result: links to text of Zohar. 2nd result onward, chronological listing of Zohar lessons from most recent to oldest."
en ,zohar for everyone,1578.0,זוהר,http://www.kabbalah.info/engkab/the-zohar/study-the-zohar,https://kabbalahmedia.info/en/sources/yUcfylRm,https://kabbalahmedia.info/en/programs?topic=0db5BBS3_fF9Awl9y_m3u0BC6T,https://kabbalahmedia.info/en/lessons?source=rh_AwGBQX2L,,"1st result: links to text of Zohar. 2nd result onward, chronological listing of Zohar lessons from most recent to oldest."
en ,congress,1491.5,כנס,https://kabbalahmedia.info/en/events,,,,,1st result: current congress landing page link. 2nd result onward: chronological listing of complete congress lesson and song packages in chronological order from most recent to oldest.
en ,arava,1491.5,כנס,https://kabbalahmedia.info/en/events/c/uxQtAVZy,https://kabbalahmedia.info/en/events?location=Israel%7CArava,,,,Chronological listing of complete Arava congress lesson and song packages in chronological order from most recent to oldest.
en ,kosinec,24.3,מרצה-חבר,https://kabbalahmedia.info/programs/c/946KH4AF,https://kabbalahmedia.info/lessons/cu/voo2mKrE,Tony Kosinec - Songs,,,"(1) ""Kabbalah Revealed"" - https://kabbalahmedia.info/programs/c/946KH4AF - should be organized according to lesson numbers, not according to date. Also, there are some title changes needed in the series (fixing of spelling and grammar errors). (2) The 5 songs that are currently the first results here need to be re-categorized from ""Lesson Part"" to ""Music."" Also, each of the songs don't work - needs fixing. Also, they should be grouped in a new section called ""Tony Kosinec - Songs."" "
en ,oren levi,24.3,מרצה-חבר,https://kabbalahmedia.info/programs/c/zf4lLwyI,https://kabbalahmedia.info/programs/c/G30TMsPn,Oren Levi - Songs - need to create grouping of these songs: http://www.kabbalah.info/engkab/kabbalah-music/music-inspired-by-kabbalah#oren-levi,"Need to remove all search results that find only ""levi"" detached from ""oren levi"" - confuses the results.",,"Need to remove all search results that find only ""levi"" detached from ""oren levi"" - confuses the results."
en ,oren,24.3,מרצה-חבר,https://kabbalahmedia.info/programs/c/zf4lLwyI,https://kabbalahmedia.info/programs/c/G30TMsPn,Oren Levi - Songs - need to create grouping of these songs: http://www.kabbalah.info/engkab/kabbalah-music/music-inspired-by-kabbalah#oren-levi,"Need to remove all search results that find only ""levi"" detached from ""oren levi"" - confuses the results.",,"Need to remove all search results that find only ""levi"" detached from ""oren levi"" - confuses the results."
en ,tree of life,212.7,ספר קבלה,https://kabbalahmedia.info/sources/HujVytxA,https://kabbalahmedia.info/lessons?source=ar_HujVytxA,https://kabbalahmedia.info/sources/2DgydMsJ,https://kabbalahmedia.info/sources/qO7BHtX2,,
en ,intentions from the heart,212.7,ספר קבלה,http://www.kabbalah.info/engkab/education-center/kabbalah-audio-books#intentions-from-the-heart,,,,,"People are searching for the audio book, ""Intentions from the Heart"" - which I placed as first result. The other 2 results are simply material on the topic, ""intention."""
en ,attaining the worlds beyond,212.7,ספר קבלה,http://www.kabbalah.info/eng/content/view/full/4175,http://www.kabbalah.info/engkab/education-center/kabbalah-audio-books#attaining-the-worlds-beyond,http://www.kabbalah.info/engkab/kabbalah-video-clips/attaining-the-worlds-beyond,https://kabbalahmedia.info/lessons/cu/N9osSuKU,https://kabbalahmedia.info/lessons/cu/Quu1kPDa,"People are searching for the book, ""Attaining the Worlds Beyond."" 1st result - eBook (PDF if possible). 2nd result - audio book. After that, material related to the book (3 - promo clip, 4 - lessons etc.). Since there is organizational goal to sell books, then there should be integration of bookstore into kabbalahmedia.info, either as ad-like search results (similar to Google Ads appearing first in Google search results), which links to external site selling the books, or as side banner with photo of book being searched, and options to directly buy (1) the physical copy of the book, (2) eBook, (3) audio book. "
en ,Children,12.0,תכניות ילדים,-,,,,,
en ,marshmelo,12.0,תכניות ילדים,-,,,,,
en ,aguda-ahat,114.0,תכנית טלוויזיה,https://kabbalahmedia.info/en/programs/c/QEFwTp2Q,,,,,
en ,the meeting of worlds,114.0,תכנית טלוויזיה,https://kabbalahmedia.info/en/programs/c/FOOoTpLR,,,,,
en ,meeting of the worlds,114.0,תכנית טלוויזיה,https://kabbalahmedia.info/en/programs/c/FOOoTpLR,,,,,
en ,igeret,10.0,אגרות,https://kabbalahmedia.info/en/sources/9ZIJ9CkI,https://kabbalahmedia.info/en/sources/VUcyhrcS,,,,
en ,igrot,10.0,אגרות,https://kabbalahmedia.info/en/sources/9ZIJ9CkI,https://kabbalahmedia.info/en/sources/VUcyhrcS,,,,
en ,Letter 8,10.0,אגרות,https://kabbalahmedia.info/en/sources/xu2KGyCi,https://kabbalahmedia.info/en/sources/J0AhqRzu,https://kabbalahmedia.info/en/lessons?source=rb_b8SHlrfH_xu2KGyCi,https://kabbalahmedia.info/en/lessons?source=bs_DVSS0xAR_J0AhqRzu,,
en ,pticha,536.0,מאמר בקבלה,https://kabbalahmedia.info/en/sources/kB3eD83I,https://kabbalahmedia.info/en/lessons?source=bs_L2jMWyce_kB3eD83I,https://kabbalahmedia.info/en/lessons/series/c/XZoflItG,https://kabbalahmedia.info/en/lessons/series/c/Y4ybN1qM,https://kabbalahmedia.info/en/lessons/series/c/yoLixtE4,
en ,prefacio,536.0,מאמר בקבלה,https://kabbalahmedia.info/en/sources/kB3eD83I,https://kabbalahmedia.info/en/lessons?source=bs_L2jMWyce_kB3eD83I,https://kabbalahmedia.info/en/lessons/series,,,
en ,preface to the wisdom of kabbalah,536.0,מאמר בקבלה,https://kabbalahmedia.info/en/sources/kB3eD83I,https://kabbalahmedia.info/en/lessons?source=bs_L2jMWyce_kB3eD83I,https://kabbalahmedia.info/en/lessons/series,,,
en ,rabash,263.5,מקובל,https://kabbalahmedia.info/sources/b8SHlrfH,https://kabbalahmedia.info/sources/rQ6sIUZK,,,,
en ,baal hasulam,263.5,מקובל,https://kabbalahmedia.info/en/sources/qMeV5M3Y,https://kabbalahmedia.info/he/persons/baal-hasulam,https://kabbalahmedia.info/en/lessons?source=bs,,,
en ,Mismah Arosa,7.0,מאמר הפצה,http://www.kabbalah.info/files/public/Files/pdf/michael-laitman_arosa-speech.pdf,,,,,
en ,jerusalem,59.0,וידאו הפצה,,,,,,
en ,crossroads,59.0,וידאו הפצה,,,,,,
en ,arosa,8.0,הפצה,http://www.kabbalah.info/files/public/Files/pdf/michael-laitman_arosa-speech.pdf,,,,,
en ,wondrous wisdom,65.3,ספר הפצה,,,,,,
en ,Basic Concepts in Kabbalah,65.3,ספר הפצה,,,,,,
en ,Secrets of the Eternal Book,65.3,ספר הפצה,,,,,,
en ,new life,1970.5,חיים חדשים,https://kabbalahmedia.info/programs/c/zf4lLwyI,,,,,
en ,nueva vida,1970.5,חיים חדשים,https://kabbalahmedia.info/programs/c/zf4lLwyI,,,,,
en ,new life pregnancy,59.3,חיים חדשים + נושא,https://kabbalahmedia.info/en/programs/c/zf4lLwyI?topic=VUpFlBnu_pXpozaXB_3cI4UcAW,,,,,
en ,new life marriage,59.3,חיים חדשים + נושא,https://kabbalahmedia.info/en/programs/c/zf4lLwyI?topic=VUpFlBnu_pXpozaXB_BdfLfqsa,,,,,
en ,relationship,59.3,חיים חדשים + נושא,https://kabbalahmedia.info/en/programs?topic=VUpFlBnu_pXpozaXB_BdfLfqsa,,,,,
en ,workshop,41.3,סדנאות,,,,,,
en ,sadna,41.3,סדנאות,,,,,,
en ,rules of the workshop,41.3,סדנאות,,,,,,
en ,seuda,61.0,סעודות,https://kabbalahmedia.info/en/events/meals,,,,,
en ,meal,61.0,סעודות,https://kabbalahmedia.info/en/events/meals,,,,,
en ,yeshivat haverim,97.0,ישיבת חברים,https://kabbalahmedia.info/en/events/friends-gatherings,,,,,
en ,yeshivat,97.0,ישיבת חברים,https://kabbalahmedia.info/en/events/friends-gatherings,,,,,
en ,kabbalah revealed,43.3,Kabbalah Revealed,,,,,,
en ,revealed,43.3,Kabbalah Revealed,,,,,,
en ,Kabbalah revealed,43.3,Kabbalah Revealed,,,,,,
en ,lc,60.0,KabU,,,,,,
en ,spring,60.0,KabU,,,,,,
en ,fundamentals,60.0,KabU,,,,,,
en ,pdf,45.7,פורמט,,,,,,
en ,audiobook,45.7,פורמט,,,,,,
en ,epub,45.7,פורמט,,,,,,
en ,italiano,47.7,שפה אחר,,,,,,
en ,portugues,47.7,שפה אחר,,,,,,
en ,german kabbalah,47.7,שפה אחר,,,,,,
en ,zenita komad,13.0,סופר לא מקובל,,,,,,
en ,psalm,11.0,תהילים,,,,,,
en ,psalms,11.0,תהילים,,,,,,
en ,tehilim,11.0,תהילים,,,,,,
en ,downloader,6.5,תוכנה,,,,,,
en ,lesson downloader,6.5,תוכנה,,,,,,
en ,Shamanic,8.0,נושא כלל רוחני,,,,,,
